row_id,next_5min_arrivals,next_10min_arrivals,next_15min_pressure_score,congestion_risk_binary,congestion_risk_multiclass,best_alternate_gate,expected_wait_reduction_minutes,reroute_confidence
bsu_2025_001_A_-098,320,653,10.82,0,low,C,0.0,0.577
bsu_2025_001_A_-097,319,654,10.82,0,low,C,0.0,0.577
bsu_2025_001_A_-096,328,662,10.82,0,low,C,0.0,0.577
bsu_2025_001_A_-095,333,667,10.82,0,low,C,0.0,0.577
bsu_2025_001_A_-094,326,663,10.82,0,low,C,0.0,0.577
bsu_2025_001_A_-093,333,674,10.82,0,low,C,0.0,0.577
bsu_2025_001_A_-092,335,676,10.82,0,low,C,0.0,0.577
bsu_2025_001_A_-091,334,674,10.82,0,low,C,0.0,0.577
bsu_2025_001_A_-090,334,668,10.82,0,low,C,0.0,0.577
bsu_2025_001_A_-089,337,678,10.82,0,low,C,0.0,0.577
bsu_2025_001_A_-088,341,677,10.82,0,low,C,0.0,0.577
bsu_2025_001_A_-087,341,674,10.82,0,low,C,0.0,0.577
bsu_2025_001_A_-086,340,677,10.82,0,low,C,0.0,0.577
bsu_2025_001_A_-085,334,668,10.82,0,low,C,0.0,0.577
bsu_2025_001_A_-084,341,673,10.82,0,low,C,0.0,0.577
bsu_2025_001_A_-083,336,657,10.42,0,low,C,0.0,0.574
bsu_2025_001_A_-082,333,657,10.42,0,low,C,0.0,0.574
bsu_2025_001_A_-081,337,653,10.42,0,low,C,0.0,0.574
bsu_2025_001_A_-080,334,650,10.42,0,low,C,0.0,0.574
bsu_2025_001_A_-079,332,643,10.42,0,low,C,0.0,0.574
bsu_2025_001_A_-078,321,643,10.42,0,low,C,0.0,0.574
bsu_2025_001_A_-077,324,637,10.44,0,low,C,0.0,0.575
bsu_2025_001_A_-076,316,624,10.44,0,low,C,0.0,0.575
bsu_2025_001_A_-075,316,622,10.44,0,low,C,0.0,0.575
bsu_2025_001_A_-074,311,621,10.98,0,low,C,0.0,0.578
bsu_2025_001_A_-073,322,631,10.98,0,low,C,0.0,0.578
bsu_2025_001_A_-072,313,634,10.98,0,low,C,0.0,0.578
bsu_2025_001_A_-071,308,638,11.12,0,low,C,0.0,0.579
bsu_2025_001_A_-070,306,640,11.67,0,low,C,0.0,0.583
bsu_2025_001_A_-069,310,653,11.81,0,low,C,0.0,0.584
bsu_2025_001_A_-068,309,656,11.81,0,low,C,0.0,0.584
bsu_2025_001_A_-067,321,669,13.29,0,low,C,0.0,0.595
bsu_2025_001_A_-066,330,689,14.39,0,low,C,0.0,0.603
bsu_2025_001_A_-065,334,712,14.61,0,low,C,0.0,0.604
bsu_2025_001_A_-064,343,732,14.61,0,low,C,0.0,0.604
bsu_2025_001_A_-063,347,748,16.43,0,low,C,0.0,0.617
bsu_2025_001_A_-062,348,786,16.61,0,low,C,0.0,0.619
bsu_2025_001_A_-061,359,843,16.8,0,low,C,0.0,0.62
bsu_2025_001_A_-060,378,908,16.8,0,low,C,0.0,0.62
bsu_2025_001_A_-059,389,950,16.8,0,low,C,0.0,0.62
bsu_2025_001_A_-058,401,1047,17.54,0,low,C,0.0,0.625
bsu_2025_001_A_-057,438,1143,19.56,0,low,C,0.0,0.64
bsu_2025_001_A_-056,484,1243,19.56,0,low,C,0.0,0.64
bsu_2025_001_A_-055,530,1336,19.94,0,low,C,0.0,0.642
bsu_2025_001_A_-054,561,1434,22.47,0,low,C,0.0,0.66
bsu_2025_001_A_-053,646,1553,22.47,0,low,C,0.0,0.66
bsu_2025_001_A_-052,705,1676,22.47,0,low,C,0.0,0.66
bsu_2025_001_A_-051,759,1790,22.47,0,low,C,0.0,0.66
bsu_2025_001_A_-050,806,1910,22.47,0,low,C,0.0,0.66
bsu_2025_001_A_-049,873,2099,22.47,0,low,C,0.0,0.66
bsu_2025_001_A_-048,907,2231,22.47,0,low,C,0.0,0.66
bsu_2025_001_A_-047,971,2356,22.47,0,low,C,0.0,0.66
bsu_2025_001_A_-046,1031,2488,22.47,0,low,C,0.0,0.66
bsu_2025_001_A_-045,1104,2634,22.47,0,low,C,0.0,0.66
bsu_2025_001_A_-044,1226,2794,22.47,0,low,C,0.0,0.66
bsu_2025_001_A_-043,1324,2941,22.47,0,low,C,0.0,0.66
bsu_2025_001_A_-042,1385,3086,22.47,0,low,C,0.0,0.66
bsu_2025_001_A_-041,1457,3188,22.47,0,low,C,0.0,0.66
bsu_2025_001_A_-040,1530,3325,22.47,0,low,C,0.0,0.66
bsu_2025_001_A_-039,1568,3352,22.19,0,low,C,0.0,0.658
bsu_2025_001_A_-038,1617,3468,22.01,0,low,C,0.01,0.657
bsu_2025_001_A_-037,1701,3556,22.01,0,low,C,0.01,0.657
bsu_2025_001_A_-036,1731,3619,22.01,0,low,C,0.02,0.657
bsu_2025_001_A_-035,1795,3624,21.92,0,low,C,0.03,0.657
bsu_2025_001_A_-034,1784,3622,21.73,0,low,C,0.04,0.655
bsu_2025_001_A_-033,1851,3630,21.73,0,low,C,0.05,0.655
bsu_2025_001_A_-032,1855,3633,21.73,0,low,C,0.06,0.655
bsu_2025_001_A_-031,1888,3627,21.72,0,low,C,0.08,0.655
bsu_2025_001_A_-030,1829,3564,21.55,0,low,C,0.09,0.654
bsu_2025_001_A_-029,1838,3609,21.55,0,low,C,0.1,0.654
bsu_2025_001_A_-028,1779,3468,21.45,0,low,C,0.12,0.653
bsu_2025_001_A_-027,1778,3430,21.26,0,low,C,0.14,0.652
bsu_2025_001_A_-026,1739,3399,21.26,0,low,C,0.16,0.652
bsu_2025_001_A_-025,1735,3380,21.17,0,low,C,0.17,0.651
bsu_2025_001_A_-024,1771,3351,21.17,0,low,C,0.18,0.651
bsu_2025_001_A_-023,1689,3311,21.07,0,low,C,0.19,0.65
bsu_2025_001_A_-022,1652,3232,20.98,0,low,C,0.21,0.65
bsu_2025_001_A_-021,1660,3163,20.98,0,low,C,0.22,0.65
bsu_2025_001_A_-020,1645,3126,20.98,0,low,C,0.23,0.65
bsu_2025_001_A_-019,1580,3004,20.98,0,low,C,0.25,0.65
bsu_2025_001_A_-018,1622,2965,20.98,0,low,C,0.28,0.65
bsu_2025_001_A_-017,1580,2867,20.59,0,low,C,0.31,0.647
bsu_2025_001_A_-016,1503,2724,20.59,0,low,C,0.33,0.647
bsu_2025_001_A_-015,1481,2625,20.59,0,low,C,0.34,0.647
bsu_2025_001_A_-014,1424,2511,20.59,0,low,C,0.35,0.647
bsu_2025_001_A_-013,1343,2343,20.49,0,low,C,0.37,0.646
bsu_2025_001_A_-012,1287,2192,20.49,0,low,C,0.38,0.646
bsu_2025_001_A_-011,1221,2049,20.39,0,low,C,0.37,0.646
bsu_2025_001_A_-010,1144,1862,20.39,0,low,C,0.38,0.646
bsu_2025_001_A_-009,1087,1695,20.39,0,low,C,0.39,0.646
bsu_2025_001_A_-008,1000,1522,20.39,0,low,C,0.39,0.646
bsu_2025_001_A_-007,905,1342,20.3,0,low,C,0.4,0.645
bsu_2025_001_A_-006,828,1193,20.3,0,low,C,0.4,0.645
bsu_2025_001_A_-005,718,1025,20.3,0,low,C,0.4,0.645
bsu_2025_001_A_-004,608,859,20.3,0,low,C,0.4,0.645
bsu_2025_001_A_-003,522,733,20.2,0,low,C,0.39,0.644
bsu_2025_001_A_-002,437,605,20.2,0,low,C,0.39,0.644
bsu_2025_001_A_-001,365,501,20.2,0,low,C,0.38,0.644
bsu_2025_001_A_+000,307,412,20.2,0,low,C,0.36,0.644
bsu_2025_001_A_+001,251,335,20.1,0,low,C,0.35,0.644
bsu_2025_001_A_+002,211,277,20.1,0,low,C,0.34,0.644
bsu_2025_001_A_+003,168,218,20.1,0,low,C,0.32,0.644
bsu_2025_001_A_+004,136,172,20.1,0,low,C,0.3,0.644
bsu_2025_001_A_+005,105,132,20.1,0,low,D,0.29,0.644
bsu_2025_001_A_+006,84,101,20.1,0,low,D,0.24,0.644
bsu_2025_001_A_+007,66,78,20.1,0,low,D,0.22,0.644
bsu_2025_001_A_+008,50,59,20.1,0,low,D,0.19,0.644
bsu_2025_001_A_+009,36,42,20.1,0,low,D,0.17,0.644
bsu_2025_001_A_+010,27,31,20.1,0,low,D,0.15,0.644
bsu_2025_001_A_+011,17,19,20.0,0,low,D,0.13,0.643
bsu_2025_001_A_+012,12,13,20.0,0,low,D,0.11,0.643
bsu_2025_001_A_+013,9,9,19.76,0,low,D,0.09,0.641
bsu_2025_001_A_+014,6,6,14.51,0,low,D,0.06,0.604
bsu_2025_001_A_+015,4,4,8.15,0,low,D,0.03,0.558
bsu_2025_001_A_+016,2,2,4.1,0,low,D,0.01,0.529
bsu_2025_001_A_+017,1,1,4.1,0,low,D,0.0,0.529
bsu_2025_001_A_+018,0,0,4.0,0,low,D,0.0,0.529
bsu_2025_001_A_+019,0,0,4.0,0,low,D,0.0,0.529
bsu_2025_001_A_+020,0,0,4.0,0,low,D,0.0,0.529
bsu_2025_001_A_+021,0,0,4.0,0,low,D,0.0,0.529
bsu_2025_001_A_+022,0,0,4.0,0,low,D,0.0,0.529
bsu_2025_001_A_+023,0,0,4.0,0,low,D,0.0,0.529
bsu_2025_001_A_+024,0,0,4.0,0,low,D,0.0,0.529
bsu_2025_001_A_+025,0,0,4.0,0,low,D,0.0,0.529
bsu_2025_001_A_+026,0,0,4.0,0,low,D,0.0,0.529
bsu_2025_001_A_+027,0,0,4.0,0,low,D,0.0,0.529
bsu_2025_001_A_+028,0,0,4.0,0,low,D,0.0,0.529
bsu_2025_001_A_+029,0,0,4.0,0,low,D,0.0,0.529
bsu_2025_001_A_+030,0,0,4.0,0,low,D,0.0,0.529
bsu_2025_001_B_-180,19,48,4.54,0,low,B,0.0,0.452
bsu_2025_001_B_-179,21,51,4.73,0,low,B,0.0,0.454
bsu_2025_001_B_-178,23,57,5.1,0,low,B,0.0,0.456
bsu_2025_001_B_-177,25,63,5.1,0,low,B,0.0,0.456
bsu_2025_001_B_-176,26,69,5.1,0,low,B,0.0,0.456
bsu_2025_001_B_-175,29,74,5.28,0,low,B,0.0,0.458
bsu_2025_001_B_-174,30,80,5.46,0,low,B,0.0,0.459
bsu_2025_001_B_-173,34,88,5.64,0,low,B,0.0,0.46
bsu_2025_001_B_-172,38,95,6.16,0,low,B,0.0,0.464
bsu_2025_001_B_-171,43,103,6.16,0,low,B,0.0,0.464
bsu_2025_001_B_-170,45,109,6.16,0,low,B,0.0,0.464
bsu_2025_001_B_-169,50,118,6.33,0,low,B,0.0,0.465
bsu_2025_001_B_-168,54,125,6.33,0,low,B,0.0,0.465
bsu_2025_001_B_-167,57,135,6.33,0,low,B,0.0,0.465
bsu_2025_001_B_-166,60,141,6.33,0,low,B,0.0,0.465
bsu_2025_001_B_-165,64,148,6.33,0,low,B,0.0,0.465
bsu_2025_001_B_-164,68,158,6.33,0,low,B,0.0,0.465
bsu_2025_001_B_-163,71,162,6.33,0,low,B,0.0,0.465
bsu_2025_001_B_-162,78,169,6.33,0,low,B,0.0,0.465
bsu_2025_001_B_-161,81,174,6.33,0,low,B,0.0,0.465
bsu_2025_001_B_-160,84,179,6.96,0,low,B,0.0,0.47
bsu_2025_001_B_-159,90,184,6.96,0,low,B,0.0,0.47
bsu_2025_001_B_-158,91,187,6.96,0,low,B,0.0,0.47
bsu_2025_001_B_-157,91,189,6.96,0,low,B,0.0,0.47
bsu_2025_001_B_-156,93,193,6.96,0,low,B,0.0,0.47
bsu_2025_001_B_-155,95,203,6.96,0,low,B,0.0,0.47
bsu_2025_001_B_-154,94,207,7.21,0,low,B,0.0,0.471
bsu_2025_001_B_-153,96,216,7.21,0,low,B,0.0,0.471
bsu_2025_001_B_-152,98,221,7.21,0,low,B,0.0,0.471
bsu_2025_001_B_-151,100,227,7.21,0,low,B,0.0,0.471
bsu_2025_001_B_-150,108,231,7.21,0,low,B,0.0,0.471
bsu_2025_001_B_-149,113,240,7.21,0,low,B,0.0,0.471
bsu_2025_001_B_-148,120,246,7.53,0,low,B,0.0,0.474
bsu_2025_001_B_-147,123,249,7.53,0,low,B,0.0,0.474
bsu_2025_001_B_-146,127,255,7.53,0,low,B,0.0,0.474
bsu_2025_001_B_-145,123,256,7.53,0,low,B,0.0,0.474
bsu_2025_001_B_-144,127,259,7.72,0,low,B,0.0,0.475
bsu_2025_001_B_-143,126,264,7.91,0,low,B,0.0,0.476
bsu_2025_001_B_-142,126,268,7.91,0,low,B,0.0,0.476
bsu_2025_001_B_-141,128,271,7.91,0,low,B,0.0,0.476
bsu_2025_001_B_-140,133,275,7.91,0,low,B,0.0,0.476
bsu_2025_001_B_-139,132,278,7.92,0,low,B,0.0,0.477
bsu_2025_001_B_-138,138,286,8.08,0,low,B,0.0,0.478
bsu_2025_001_B_-137,142,292,8.09,0,low,B,0.0,0.478
bsu_2025_001_B_-136,143,300,8.09,0,low,B,0.0,0.478
bsu_2025_001_B_-135,142,304,8.09,0,low,B,0.0,0.478
bsu_2025_001_B_-134,146,311,8.09,0,low,B,0.0,0.478
bsu_2025_001_B_-133,148,316,8.09,0,low,B,0.0,0.478
bsu_2025_001_B_-132,150,323,8.09,0,low,B,0.0,0.478
bsu_2025_001_B_-131,157,331,8.29,0,low,B,0.0,0.479
bsu_2025_001_B_-130,162,336,8.29,0,low,B,0.0,0.479
bsu_2025_001_B_-129,165,338,8.74,0,low,B,0.0,0.482
bsu_2025_001_B_-128,168,339,8.74,0,low,B,0.0,0.482
bsu_2025_001_B_-127,173,343,8.74,0,low,B,0.0,0.482
bsu_2025_001_B_-126,174,347,8.74,0,low,B,0.0,0.482
bsu_2025_001_B_-125,174,353,8.74,0,low,B,0.0,0.482
bsu_2025_001_B_-124,173,359,9.75,0,low,B,0.0,0.49
bsu_2025_001_B_-123,171,363,9.75,0,low,B,0.0,0.49
bsu_2025_001_B_-122,170,368,10.31,0,low,B,0.0,0.494
bsu_2025_001_B_-121,173,373,10.31,0,low,B,0.0,0.494
bsu_2025_001_B_-120,179,381,10.31,0,low,B,0.0,0.494
bsu_2025_001_B_-119,186,395,10.79,0,low,B,0.0,0.497
bsu_2025_001_B_-118,192,407,10.79,0,low,B,0.0,0.497
bsu_2025_001_B_-117,198,422,10.79,0,low,B,0.0,0.497
bsu_2025_001_B_-116,200,431,10.79,0,low,B,0.0,0.497
bsu_2025_001_B_-115,202,439,10.79,0,low,B,0.0,0.497
bsu_2025_001_B_-114,209,452,10.79,0,low,B,0.0,0.497
bsu_2025_001_B_-113,215,460,11.18,0,low,B,0.0,0.5
bsu_2025_001_B_-112,224,471,11.18,0,low,B,0.0,0.5
bsu_2025_001_B_-111,231,473,11.18,0,low,B,0.0,0.5
bsu_2025_001_B_-110,237,484,11.58,0,low,B,0.0,0.503
bsu_2025_001_B_-109,243,484,11.58,0,low,B,0.0,0.503
bsu_2025_001_B_-108,245,492,11.58,0,low,B,0.0,0.503
bsu_2025_001_B_-107,247,494,11.71,0,low,B,0.0,0.504
bsu_2025_001_B_-106,242,500,11.71,0,low,B,0.0,0.504
bsu_2025_001_B_-105,247,511,11.71,0,low,B,0.0,0.504
bsu_2025_001_B_-104,241,509,11.71,0,low,B,0.0,0.504
bsu_2025_001_B_-103,247,514,11.71,0,low,B,0.0,0.504
bsu_2025_001_B_-102,247,520,11.71,0,low,B,0.0,0.504
bsu_2025_001_B_-101,258,533,11.71,0,low,B,0.0,0.504
bsu_2025_001_B_-100,264,533,11.71,0,low,B,0.0,0.504
bsu_2025_001_B_-099,268,537,11.71,0,low,B,0.0,0.504
bsu_2025_001_B_-098,267,538,11.71,0,low,B,0.0,0.504
bsu_2025_001_B_-097,273,538,11.71,0,low,B,0.0,0.504
bsu_2025_001_B_-096,275,541,11.71,0,low,B,0.0,0.504
bsu_2025_001_B_-095,269,536,11.71,0,low,B,0.0,0.504
bsu_2025_001_B_-094,269,536,11.71,0,low,B,0.0,0.504
bsu_2025_001_B_-093,271,533,11.71,0,low,B,0.0,0.504
bsu_2025_001_B_-092,265,520,11.64,0,low,B,0.0,0.503
bsu_2025_001_B_-091,266,514,11.64,0,low,B,0.0,0.503
bsu_2025_001_B_-090,267,517,11.64,0,low,B,0.0,0.503
bsu_2025_001_B_-089,267,511,11.64,0,low,B,0.0,0.503
bsu_2025_001_B_-088,262,505,11.64,0,low,B,0.0,0.503
bsu_2025_001_B_-087,255,498,11.64,0,low,B,0.0,0.503
bsu_2025_001_B_-086,248,485,11.31,0,low,B,0.0,0.501
bsu_2025_001_B_-085,250,480,11.31,0,low,B,0.0,0.501
bsu_2025_001_B_-084,244,474,11.31,0,low,B,0.0,0.501
bsu_2025_001_B_-083,243,471,11.31,0,low,B,0.0,0.501
bsu_2025_001_B_-082,243,467,11.31,0,low,B,0.0,0.501
bsu_2025_001_B_-081,237,463,11.31,0,low,B,0.0,0.501
bsu_2025_001_B_-080,230,452,10.69,0,low,B,0.0,0.496
bsu_2025_001_B_-079,230,449,10.69,0,low,B,0.0,0.496
bsu_2025_001_B_-078,228,440,10.39,0,low,B,0.0,0.494
bsu_2025_001_B_-077,224,434,10.39,0,low,B,0.0,0.494
bsu_2025_001_B_-076,226,429,10.39,0,low,B,0.0,0.494
bsu_2025_001_B_-075,222,419,10.29,0,low,B,0.0,0.493
bsu_2025_001_B_-074,219,416,10.29,0,low,B,0.0,0.493
bsu_2025_001_B_-073,212,404,10.05,0,low,B,0.0,0.492
bsu_2025_001_B_-072,210,397,10.05,0,low,B,0.0,0.492
bsu_2025_001_B_-071,203,385,9.82,0,low,B,0.0,0.49
bsu_2025_001_B_-070,197,375,9.82,0,low,B,0.0,0.49
bsu_2025_001_B_-069,197,365,9.82,0,low,B,0.0,0.49
bsu_2025_001_B_-068,192,362,9.82,0,low,B,0.0,0.49
bsu_2025_001_B_-067,187,355,9.82,0,low,B,0.0,0.49
bsu_2025_001_B_-066,182,346,9.82,0,low,B,0.0,0.49
bsu_2025_001_B_-065,178,337,9.82,0,low,B,0.0,0.49
bsu_2025_001_B_-064,168,322,8.77,0,low,B,0.0,0.483
bsu_2025_001_B_-063,170,315,8.77,0,low,B,0.0,0.483
bsu_2025_001_B_-062,168,305,8.77,0,low,B,0.0,0.483
bsu_2025_001_B_-061,164,299,8.77,0,low,B,0.0,0.483
bsu_2025_001_B_-060,159,293,8.77,0,low,B,0.0,0.483
bsu_2025_001_B_-059,154,286,8.77,0,low,B,0.0,0.483
bsu_2025_001_B_-058,145,274,7.86,0,low,B,0.0,0.476
bsu_2025_001_B_-057,137,265,7.31,0,low,B,0.0,0.472
bsu_2025_001_B_-056,135,256,7.16,0,low,B,0.0,0.471
bsu_2025_001_B_-055,134,250,7.16,0,low,B,0.0,0.471
bsu_2025_001_B_-054,132,241,7.14,0,low,B,0.0,0.471
bsu_2025_001_B_-053,129,232,6.96,0,low,B,0.0,0.47
bsu_2025_001_B_-052,128,223,6.96,0,low,B,0.0,0.47
bsu_2025_001_B_-051,121,215,6.96,0,low,B,0.0,0.47
bsu_2025_001_B_-050,116,206,6.81,0,low,B,0.0,0.469
bsu_2025_001_B_-049,109,198,6.61,0,low,B,0.0,0.467
bsu_2025_001_B_-048,103,191,6.25,0,low,B,0.0,0.465
bsu_2025_001_B_-047,95,187,6.05,0,low,B,0.0,0.463
bsu_2025_001_B_-046,94,185,6.05,0,low,B,0.0,0.463
bsu_2025_001_B_-045,90,179,5.68,0,low,B,0.0,0.461
bsu_2025_001_B_-044,89,176,5.68,0,low,B,0.0,0.461
bsu_2025_001_B_-043,88,173,5.68,0,low,B,0.0,0.461
bsu_2025_001_B_-042,92,174,5.68,0,low,B,0.0,0.461
bsu_2025_001_B_-041,91,169,5.3,0,low,B,0.0,0.458
bsu_2025_001_B_-040,89,166,5.3,0,low,B,0.0,0.458
bsu_2025_001_B_-039,87,161,5.3,0,low,B,0.0,0.458
bsu_2025_001_B_-038,85,157,5.3,0,low,B,0.0,0.458
bsu_2025_001_B_-037,82,149,5.1,0,low,B,0.0,0.456
bsu_2025_001_B_-036,78,142,4.9,0,low,B,0.0,0.455
bsu_2025_001_B_-035,77,136,4.9,0,low,B,0.0,0.455
bsu_2025_001_B_-034,74,129,4.9,0,low,B,0.0,0.455
bsu_2025_001_B_-033,72,125,4.9,0,low,B,0.0,0.455
bsu_2025_001_B_-032,67,120,4.7,0,low,B,0.0,0.454
bsu_2025_001_B_-031,64,115,4.7,0,low,B,0.0,0.454
bsu_2025_001_B_-030,59,108,4.51,0,low,B,0.0,0.452
bsu_2025_001_B_-029,55,104,4.51,0,low,B,0.0,0.452
bsu_2025_001_B_-028,53,99,4.09,0,low,B,0.0,0.449
bsu_2025_001_B_-027,53,96,4.09,0,low,B,0.0,0.449
bsu_2025_001_B_-026,51,90,4.09,0,low,B,0.0,0.449
bsu_2025_001_B_-025,49,85,4.09,0,low,B,0.0,0.449
bsu_2025_001_B_-024,49,81,4.09,0,low,B,0.0,0.449
bsu_2025_001_B_-023,46,73,3.9,0,low,B,0.0,0.448
bsu_2025_001_B_-022,43,67,3.55,0,low,B,0.0,0.445
bsu_2025_001_B_-021,39,62,3.55,0,low,B,0.0,0.445
bsu_2025_001_B_-020,36,58,3.55,0,low,B,0.0,0.445
bsu_2025_001_B_-019,32,53,3.55,0,low,B,0.0,0.445
bsu_2025_001_B_-018,27,48,3.35,0,low,B,0.0,0.444
bsu_2025_001_B_-017,24,44,3.35,0,low,B,0.0,0.444
bsu_2025_001_B_-016,23,43,3.35,0,low,B,0.0,0.444
bsu_2025_001_B_-015,22,40,3.35,0,low,B,0.0,0.444
bsu_2025_001_B_-014,21,37,3.35,0,low,B,0.0,0.444
bsu_2025_001_B_-013,21,35,3.35,0,low,B,0.0,0.444
bsu_2025_001_B_-012,20,32,3.14,0,low,B,0.0,0.442
bsu_2025_001_B_-011,20,30,3.14,0,low,B,0.0,0.442
